SampleID,classe originale,classe finale,Action,Class Change?,NEW CLASS
DSS_7177T0.5_090224,DSS,DSS_T0,Keep,TRUE,DSS_T0
DSS_7274T0.8.2_090224,DSS,DSS_T0,Keep,TRUE,DSS_T0
935_CTR_LPS_CSF_070224,LPS,LPS_CTRL,Keep,TRUE,LPS_CTRL
936_CTR_LPS_CSF_070224_2,LPS,LPS_CTRL,Keep,TRUE,LPS_CTRL
DSS_T0.5B897_090224,DSS,DSS_T0,Keep,TRUE,DSS_T0
937_CTR_LPS_CSF_070224,LPS,LPS_CTRL,Keep,TRUE,LPS_CTRL
941_CTR_LPS_CSF_070224,LPS,LPS_CTRL,Keep,TRUE,LPS_CTRL
942_CTR_LPS_CSF_070224,LPS,LPS_CTRL,Keep,TRUE,LPS_CTRL
DSS_7911180902_090224,DSS,DSS_T1,Keep,TRUE,DSS_T1
DSS_T1.5T1.7902_090224,DSS,DSS_T1,Drop,TRUE,
CSF_115_116_121_122_21122021,DSS,DSS_T3,Drop,TRUE,
CSF_88_118_21122021,DSS,DSS_T3,Drop,TRUE,
DSS_117_120224,DSS,DSS_T3,Drop,TRUE,
DSS_1229087_120224,DSS,DSS_T3,Drop,TRUE,
DSS_906T3.8_120224,DSS,DSS_T3,Drop,TRUE,
CSF_123_124_126_20122021,DSS,DSS_T5,Drop,TRUE,
CSF_96_20122021,DSS,DSS_T5,Drop,TRUE,
DSS_912_120224,DSS,DSS_T5,Drop,TRUE,
CSF_129_21122021,DSS,DSS_T5,Keep,TRUE,DSS_T5
CSF_70_21122021,DSS,DSS_T5,Keep,TRUE,DSS_T5
CSF_97_21122021,DSS,DSS_T5,Keep,TRUE,DSS_T5
DSS_911T5.6_120224,DSS,DSS_T5,Drop,TRUE,
DSS_93126T5.6_120224,DSS,DSS_T5,Drop,TRUE,
DSS_T5.5T5.8_120224,DSS,DSS_T5,Drop,TRUE,
DSS_12994128_120224,DSS,DSS_T5,Drop,TRUE,
DSS_95127_120224,DSS,DSS_T5,Drop,TRUE,
DSS_T5.7_120224,DSS,DSS_T5,Drop,TRUE,
945949_CTR_25H_CSF_070224,LPS,LPS 2.5H,Keep,TRUE,LPS 2.5H
948_CSF_25H_080224,LPS,LPS 2.5H,Keep,TRUE,LPS 2.5H
950951947_CSF_25H_080224,LPS,LPS 2.5H,Keep,TRUE,LPS 2.5H
957_CSF_24H_080224,LPS,LPS 24H,Drop,TRUE,
954961_CSF_24H_080224,LPS,LPS 24H,Keep,TRUE,LPS 24H
955961_CSF_24H_080224,LPS,LPS 24H,Keep,TRUE,LPS 24H
956_CSF_24H_080224,LPS,LPS 24H,Keep,TRUE,LPS 24H
959_CSF_24H_080224,LPS,LPS 24H,Keep,TRUE,LPS 24H
960962963_CSF_24H_080224,LPS,LPS 24H,Keep,TRUE,LPS 24H
958963_CSF_24H_080224,LPS,LPS 24H,Drop,TRUE,
943_CTR_LPS_CSF_070224,LPS,LPS_CTRL,Keep,TRUE,LPS_CTRL
DSS_76_090224,DSS,DSS_T0,Keep,TRUE,DSS_T0
DSS_B896_090224,DSS,DSS_T0,Keep,TRUE,DSS_T0
938942_CTR_LPS_CSF_070224,LPS,LPS_CTRL,Keep,TRUE,LPS_CTRL
939940.2_CTR_LPS_CSF_070224,LPS,LPS_CTRL,Keep,TRUE,LPS_CTRL
940934_CTR_LPS_CSF_070224,LPS,LPS_CTRL,Keep,TRUE,LPS_CTRL
DSS_T0.7_090224,DSS,DSS_T0,Keep,TRUE,DSS_T0
DSS_T0.8_090224,DSS,DSS_T0,Keep,TRUE,DSS_T0
DSS_73_090224,DSS,DSS_T0,Drop,TRUE,
32963296.1_VECPAC_200224,VECPAC,CRE,Keep,TRUE,CRE
330632963296.1VECPAC_200224_2,VECPAC,CRE,Keep,TRUE,CRE
33283356_VECPAC_190224,VECPAC,CRE,Keep,TRUE,CRE
333033473689_VECPAC_190224,VECPAC,CRE,Keep,TRUE,CRE
335233703689_VECPAC_200224,VECPAC,CRE,Keep,TRUE,CRE
335533643665_VECPAC_200224,VECPAC,CRE,Keep,,CRE
VECPAC_36783675_120224,VECPAC,VECPAC CTRL,Drop,,
3369367333713677_VECPAC_190224,VECPAC,VECPAC CTRL,Drop,,
CSF_105_21122021,DSS,No T0,Drop,,
33543353VECPAC_190224,VECPAC,VECPAC CTRL,Keep,,VECPAC CTRL
36743677_VECPAC_190224,VECPAC,VECPAC CTRL,yes,,
36773688_VECPAC_190224,VECPAC,VECPAC CTRL,Keep,,VECPAC CTRL
CSF_106_20122021,DSS,DSS_T3,Drop,,
3297_VECPAC_190224,VECPAC,VECPAC CTRL,Keep,,VECPAC CTRL
36803629.1_REP_VECPAC_200224,VECPAC,CRE+,Drop,,
CSF_101_102_104_21122021,DSS,DSS_T1,Drop,,
3679_VECPAC_190224,VECPAC,VECPAC CTRL,Keep,,VECPAC CTRL
3681_VECPAC_190224,VECPAC,VECPAC CTRL,Keep,,VECPAC CTRL
